genres,avaliacoes_negativas_percentual,concorrentes
Casual;RPG;Simulation,45.47427778,9
Gore;Action;Adventure;Indie,45.45638333,12
"Action;Massively Multiplayer;Strategy",45.45450000,1
"Action;Massively Multiplayer;RPG;Early Access",45.43010000,2
"Design & Illustration;Early Access",45.26350000,3
"Violent;Gore;Action;Adventure;Early Access",45.16130000,1
Action;Racing;Simulation;Sports,45.14358750,8
"Sexual Content;Nudity;Violent;Action;Indie",45.00000000,2
Action;Simulation,44.97721905,63
Casual;Simulation;Sports,44.74550833,24
Violent;Adventure;Indie;RPG;Strategy,44.69700000,2
Strategy;RPG,44.66670000,1
"Indie;RPG;Simulation;Sports;Strategy;Early Access",44.64290000,1
Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports,44.62720000,2
"Violent;Action;Casual;Indie;Massively Multiplayer;Racing",44.57830000,1
Nudity;Violent;Gore;Action;Adventure;Indie,44.50444000,5
"Violent;Action;Casual;Indie;Simulation;Early Access",44.44440000,1
Violent;Action;Adventure;Casual;Indie;RPG;Simulation;Strategy,44.44440000,1
"Action;Adventure;RPG;Sports;Early Access",44.44440000,1
"Action;Adventure;Indie;Massively Multiplayer;Simulation;Early Access",44.36514286,7
"Action;Sports;Early Access",44.16110000,3
"Utilities;Early Access",44.06232500,4
Violent;Gore;Adventure;Casual;Indie,44.02135000,4
"Action;RPG;Strategy;Early Access",44.00000000,1
"Action;Casual;Indie;Simulation;Early Access",43.81273077,13
"Racing;Simulation;Strategy;Early Access",43.75000000,1
"Indie;Massively Multiplayer;Racing;Simulation;Early Access",43.68600000,1
"Nudity;Violent;Gore;Action;Adventure;Indie;Early Access",43.47830000,1
"Photo Editing;Utilities;Video Production",43.33330000,1
Casual;RPG;Simulation;Strategy,43.24205000,4
"Racing;RPG;Simulation;Early Access",43.22030000,1
"Action;Indie;Massively Multiplayer;RPG;Early Access",43.11603333,6
Action;Casual;Indie;Racing;Simulation;Sports,43.09927143,14
"Violent;Action;Massively Multiplayer;Simulation;Sports",43.09520000,1
Sports,43.07978393,56
"Action;Casual;Indie;Massively Multiplayer;Simulation",42.97506667,3
"Action;RPG;Early Access",42.96375000,6
Action;Indie;Sports;Strategy,42.85710000,1
"Sexual Content;Indie;Simulation",42.85710000,1
"Animation & Modeling;Design & Illustration;Education;Utilities;Web Publishing;Game Development",42.85710000,1
"Animation & Modeling;Audio Production;Utilities",42.85710000,1
Casual;Indie;Racing;Simulation,42.84364000,10
Gore;Action;Adventure;Simulation;Strategy,42.68290000,1
"Sexual Content;Action",42.66665000,2
"Action;Casual;Simulation;Early Access",42.61688000,5
Nudity;Violent;Gore;Action;RPG,42.58720000,1
"Action;Adventure;Indie;Massively Multiplayer;RPG;Early Access",42.37270000,10
"Casual;Indie;Massively Multiplayer;Racing",42.27275000,2
Action;Adventure;Racing,42.26430000,8
Violent;Gore;Action,42.09330952,21
Sports;Strategy,42.00020000,7
"Racing;Simulation;Sports;Early Access",41.92405000,4
Education,41.87500000,4
Nudity;Adventure;Casual;Indie,41.77802000,5
Violent;Action;Racing,41.74605000,2
"Casual;Indie;Massively Multiplayer;Strategy",41.74166000,5
"Sexual Content;Nudity;Violent;Adventure;Casual;Indie",41.66670000,1
"Violent;Action;Adventure;RPG;Early Access",41.66670000,1
"Violent;Gore;Action;Adventure;Casual;Indie;Massively Multiplayer;RPG;Early Access",41.66670000,1
"Violent;Action;Casual;Indie;Strategy;Early Access",41.56535000,2
"Action;Simulation;Strategy;Early Access",41.56250000,4
RPG;Simulation,41.48021000,10
Casual;Racing;Sports,41.30053333,3
"Casual;Indie;RPG;Simulation;Strategy;Early Access",41.29685000,6
"Violent;Gore;Action;Adventure;Indie;Early Access",41.22524444,9
"Action;Adventure;Casual;Indie;Simulation;Early Access",41.13277000,10
Action;Simulation;Strategy,41.12061481,27
"Indie;Simulation;Sports;Strategy;Early Access",41.05024286,7
Nudity;Violent;Gore;Action,41.04906667,3
"Animation & Modeling;Design & Illustration;Utilities;Early Access",40.96680000,5
"Violent;Gore;Action;Casual;Indie;Early Access",40.80108333,6
"Action;Adventure;Massively Multiplayer;RPG;Simulation;Early Access",40.74330000,2
"Sexual Content;Violent;Action;Indie;Massively Multiplayer;Racing;RPG;Simulation",40.74070000,1
Simulation,40.68299465,299
"Sexual Content;Nudity;Casual;Simulation",40.62500000,1
Action;Adventure;Indie;RPG;Simulation;Sports;Strategy,40.54050000,1
Action;Adventure;Simulation,40.42776857,35
"Indie;Massively Multiplayer;RPG;Simulation;Strategy",40.40400000,1
Violent;Simulation;Sports,40.37590000,1
Racing;Simulation,40.27868571,14
"Sexual Content;Nudity;Violent;Adventure;Indie;RPG",40.24390000,1
Nudity;Violent;RPG,40.17630000,1
Simulation;Sports,40.09269623,53
Indie;Racing;Simulation;Sports,40.05145714,21
Violent;Gore;Action;Adventure;Indie,40.02484667,45
"Action;Massively Multiplayer;Strategy;Early Access",40.00000000,1
"Casual;Free to Play;Indie;Simulation;Strategy",40.00000000,1
"Sexual Content;Nudity;Action;Indie",40.00000000,1
"Violent;Gore;Adventure;Indie;RPG;Early Access",40.00000000,1
Violent;Action;Indie;Racing,40.00000000,1
"Simulation;Sports;Strategy;Early Access",40.00000000,1
Nudity;Violent;Casual;Indie;Simulation,40.00000000,1
Gore;Action;Adventure;Casual;Indie;Simulation;Strategy,40.00000000,1
Violent;Action;Adventure;Casual;Simulation;Strategy,40.00000000,1
Violent;Gore;Action;Adventure;RPG;Simulation,40.00000000,1
"Adventure;Casual;Indie;Massively Multiplayer;RPG;Simulation;Sports;Strategy",40.00000000,1
Violent;Action;Adventure;RPG,39.96560000,3
Casual;Indie;Racing;Simulation;Sports,39.85587778,9
"Action;Adventure;Casual;Indie;Massively Multiplayer;Strategy",39.82760000,2
Action;Adventure;Casual;Racing,39.67500000,4
"Action;Adventure;Indie;RPG;Simulation;Early Access",39.66498095,21
Action;Adventure;Casual;RPG;Strategy,39.65520000,1
Gore;Indie,39.56110000,3
Action;Adventure;Indie;Racing;RPG;Strategy,39.53490000,1
"Audio Production;Early Access",39.47370000,1
"Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy;Early Access",39.42870000,1
"Action;Adventure;Massively Multiplayer;RPG",39.31390000,3
Nudity;Adventure;Casual;Indie;RPG;Simulation,39.23080000,1
Indie;Racing,39.13396250,40
"Action;Massively Multiplayer;RPG",39.06250000,2
Indie;Racing;Sports,39.03901429,14
Action;Casual;Strategy,38.98683077,13
Action;Adventure;Casual;Indie;Simulation;Sports;Strategy,38.97850000,2
Violent;Action;Casual;Indie;Sports,38.88890000,2
"Adventure;Early Access",38.88781000,10
Action;Adventure;Indie;Racing;Sports;Strategy,38.84300000,1
Violent;Gore;Adventure,38.74056000,5
Adventure;Casual;RPG;Strategy,38.73018000,5
"Sexual Content;Nudity;Casual;Indie;Simulation",38.62326250,8
Action;Casual;Simulation;Sports;Strategy,38.58707500,4
"Violent;Action;Casual;Indie;Early Access",38.58585000,6
"Action;Early Access",38.55732791,43
"Sexual Content;Action;Adventure;Indie;Racing;Simulation;Sports",38.46150000,1
Adventure;Casual;Racing,38.35125000,2
Action;Casual;Simulation,38.34831000,30
Action;Simulation;Sports;Strategy,38.31895000,2
"Action;Adventure;Casual;Massively Multiplayer;RPG;Early Access",38.09520000,1
Violent;Action;Adventure;Indie,38.06681905,21
"Action;Adventure;Casual;Indie;RPG;Simulation;Early Access",38.05557500,8
"Action;Adventure;Casual;Massively Multiplayer;RPG;Strategy;Early Access",38.03760000,1
"Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy;Early Access",37.88145000,2
Adventure;Simulation;Strategy,37.82583333,9
"Sexual Content;Violent;Action",37.78933333,3
Action;Adventure;Indie;Simulation,37.78902706,85
Adventure;Racing;Simulation;Sports,37.71710000,1
Casual;Simulation,37.61267607,117
"Sexual Content;Nudity;Violent;Gore;Action;Indie",37.51430000,2
"Action;Indie;Massively Multiplayer;Strategy",37.51122500,4
"Sexual Content;Nudity;Violent;Indie;Simulation",37.50000000,1
"Free to Play;Indie;Strategy",37.50000000,1
"Indie;Animation & Modeling",37.50000000,1
Indie;Racing;Strategy,37.50000000,1
Nudity;Gore;Action;Adventure;Indie,37.50000000,1
"Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation",37.44310000,1
Action;Adventure;Indie;RPG;Simulation,37.41462400,25
Nudity;Casual;Indie,37.40172500,4
Violent;Gore;Action;Adventure;Indie;Simulation,37.39811429,7
"Action;Massively Multiplayer;Racing",37.37573333,3
Adventure;Casual;Indie;Sports,37.35602000,5
"Indie;RPG;Simulation;Strategy;Early Access",37.33700833,12
"Utilities;Video Production;Early Access",37.31270000,2
"Massively Multiplayer;Racing",37.27810000,1
"Action;Simulation;Early Access",37.26127500,12
Adventure;Casual;Indie;Racing;RPG;Simulation;Strategy,37.20930000,1
"Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access",37.20495000,2
Nudity;Action;Adventure,37.17175000,2
Nudity;Casual;Indie;Strategy,37.08790000,2
Gore;Adventure;Indie,37.08001000,10
Violent;Action,37.07867059,17
"Sexual Content;Adventure;Simulation",37.03700000,1
Action;Adventure;Casual;Racing;Simulation;Sports,37.00000000,2
"Massively Multiplayer;Racing;Simulation;Sports",36.88652500,4
Adventure;Casual;Indie;Simulation,36.88172887,142
"Action;Indie;Massively Multiplayer;Early Access",36.86369231,13
"Education;Early Access",36.84210000,1
"Nudity;Violent;Action;Indie;Early Access",36.84210000,1
"Casual;Indie;Simulation;Sports;Early Access",36.82746471,17
Indie;Racing;RPG;Simulation,36.78160000,1
