genres,avaliacoes_positivas_percentual,concorrentes
"Animation & Modeling;Design & Illustration;Utilities;Video Production;Early Access",84.21050000,1
Violent;Gore;Action;Simulation;Sports,84.21050000,1
Gore;Action;Adventure;Strategy,84.00000000,1
Nudity;Violent;Gore;Action;Casual,83.92855000,2
Violent;Gore;Action;Indie;Racing,83.90280000,3
Gore;Simulation;Strategy,83.87100000,1
"Sexual Content;Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Early Access",83.79940000,1
"Animation & Modeling",83.54165000,2
Action;Indie;Sports,83.50130328,61
Action;Strategy;Casual,83.48910000,1
Violent;Gore;Action;Indie;Simulation;Sports;Strategy,83.41840000,1
Violent;Casual;Indie;Strategy,83.33335000,2
"Action;Adventure;Casual;Indie;Racing;Simulation;Early Access",83.33330000,1
Violent;Simulation,83.33330000,1
"Violent;Gore;Action;Adventure;Strategy;Early Access",83.33330000,1
Gore;Casual;Indie;Simulation;Strategy,83.33330000,1
"Action;Adventure;Casual;Indie;Simulation;Sports;Early Access",83.33330000,1
Casual;Indie;Simulation;Education,83.33330000,1
"Sexual Content;Nudity;Violent;Gore;Indie;Simulation",83.28210000,1
"Indie;RPG;Simulation;Early Access",83.25466667,9
"Sexual Content;Adventure;Casual;Indie",83.25042000,5
"Indie;Racing;Simulation;Early Access",83.10485714,7
"Animation & Modeling;Utilities",83.06452500,4
"Animation & Modeling;Video Production",83.03070000,1
"Animation & Modeling;Design & Illustration;Web Publishing",82.97000000,2
Action;Adventure;RPG;Simulation;Strategy,82.96690000,3
"Sexual Content;Violent;Adventure;Indie;Strategy",82.90440000,1
"Action;Indie;Sports;Strategy;Early Access",82.83335000,2
"Sexual Content;Nudity;Violent;Gore;Action;Adventure;Casual;Indie;RPG",82.75860000,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;Early Access",82.67790000,3
Violent;RPG,82.61152500,4
"Action;Adventure;Indie;Massively Multiplayer;Simulation;Strategy",82.60870000,1
"Action;Adventure;Casual;Indie;Massively Multiplayer",82.50784286,7
Action;Casual;Indie;RPG;Strategy,82.46232500,4
"Design & Illustration;Photo Editing",82.39350000,3
"Action;Casual;Indie;Early Access",82.37933889,90
Nudity;Violent;Gore;Action;Adventure;Indie;RPG,82.27850000,2
"Adventure;Indie;Strategy;Early Access",82.22317143,14
"Adventure;Indie;RPG;Strategy;Early Access",82.09965000,14
Casual;Indie;RPG;Simulation;Sports;Strategy,81.93306667,3
"Violent;Gore;Action;Casual;Early Access",81.81820000,1
"Casual;Indie;Massively Multiplayer",81.81820000,1
"Sexual Content;Nudity;Action;Adventure;RPG",81.81820000,1
"Casual;Indie;Simulation;Audio Production",81.81820000,1
"Sexual Content;Nudity;Adventure;Casual;Indie",81.77193333,6
"Sexual Content;Casual",81.76730000,2
"Sexual Content;Nudity;Casual;Indie",81.75273750,24
Action;Adventure;Indie;Racing;Strategy,81.73075000,2
Adventure;Casual;RPG;Simulation;Strategy,81.63923333,3
"Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Video Production;Web Publishing;Game Development",81.39530000,1
Violent;RPG;Strategy,81.38765000,2
Violent;Action;Adventure;Indie;Simulation,81.33275000,2
"Sexual Content;Nudity;Violent;Indie;Simulation;Strategy",81.30720000,1
"Casual;Indie;Strategy;Early Access",81.17167895,19
"Utilities;Web Publishing",81.03450000,1
"Action;Indie;Sports;Early Access",80.98494375,16
"Sexual Content;Nudity;Violent;Gore;RPG",80.94455000,2
Action;Adventure;Casual;Racing;RPG;Sports;Strategy,80.92910000,1
"Action;Casual;Indie;Massively Multiplayer;RPG;Early Access",80.91400000,2
"Sexual Content;Nudity;Action;Casual;Indie;Simulation",80.79900000,3
"Sexual Content;Nudity;Casual;Indie;Strategy",80.76920000,1
Nudity;Violent;Action;Adventure;RPG,80.74205000,2
"Casual;Indie;Racing;Sports;Early Access",80.74075000,2
"Adventure;Casual;Indie;RPG;Strategy;Early Access",80.70458750,8
Violent;Gore;Action;Casual;Indie;Racing,80.49360000,1
"Sexual Content;Nudity;RPG",80.48780000,1
Adventure;Casual;Simulation;Strategy,80.41280769,26
"Adventure;Casual;Indie;Strategy;Early Access",80.40372857,7
"Sexual Content;Action;Casual;Indie",80.37970000,2
"Animation & Modeling;Design & Illustration;Education;Software Training;Utilities;Web Publishing;Game Development",80.36400000,3
"Adventure;Indie;RPG;Simulation;Early Access",80.34671429,14
Nudity;RPG,80.34405000,2
"Action;Casual;Indie;Massively Multiplayer;Strategy;Early Access",80.32096667,3
RPG;Casual;Adventure,80.28170000,1
Nudity;Violent;Gore;Adventure;Indie,80.15560000,1
"Sexual Content;Nudity;Violent;RPG;Strategy",80.13940000,1
Nudity;Action;Casual;Indie,80.07815000,2
"Sexual Content;Nudity;Adventure",80.05920000,3
"Animation & Modeling;Design & Illustration;Game Development;Early Access",80.00000000,1
Nudity;Violent;Adventure,80.00000000,1
Violent;Action;Simulation;Strategy,80.00000000,1
"Nudity;Adventure;RPG;Strategy;Early Access",80.00000000,1
"Gore;Adventure;Indie;Early Access",80.00000000,1
"Action;RPG;Sports;Early Access",80.00000000,1
"Audio Production;Design & Illustration;Utilities;Video Production;Web Publishing",80.00000000,1
Action;Racing;RPG,79.87170000,1
Adventure;RPG;Strategy,79.83132917,24
"Sexual Content;Nudity;Adventure;Simulation",79.80596667,3
Action;Indie;Racing;Sports,79.77239500,20
"Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access",79.71390000,1
"Action;Massively Multiplayer;Simulation;Early Access",79.70500000,2
"Action;Adventure;Casual;Massively Multiplayer",79.62665000,2
Action;Adventure;Racing;RPG;Simulation,79.54550000,1
Action;Indie;Racing;Strategy,79.48313333,3
Action;Casual;Indie;Sports,79.46575667,60
Indie;Sports;Strategy,79.44831667,6
"Sexual Content;Nudity;Adventure;Indie",79.38062000,5
Violent;Gore;Action;Indie;RPG;Simulation;Strategy,79.16670000,1
Action;Casual;RPG,78.98660000,3
"Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access",78.98303333,9
Violent;Gore;Indie;Strategy,78.94740000,1
"Violent;Action;Adventure;Casual;Indie;RPG;Early Access",78.94740000,1
Action;Adventure;Casual;Indie;Racing,78.93282500,8
