steam_appid;Mesclado.1;Processador_min.1;RAM_min.1.1;GPU_min.1;
532770;;Intel Core 2 Duo equivalent or higher ;1536 MB RAM ;NVIDIA Geforce7600 equivalent or higher DirectX: Version 9.0c ;
532800;;2 Ghz Dual Core ;1 GB RAM ;nVidia® 8800 GT / AMD® 4670 or better DirectX: Version 9.0c Network: Broadband Internet connection ;
532840;;Intel Core 2 Duo E4500 @ 2.2GHz or AMD Athlon 64 X2 5600+ @ 2.8 GHz ;4 GB RAM ;GeForce 240 GT or Radeon HD 6570 – 1024 MB (1 gig) DirectX: Version 9.0c ;
532890;;Intel Core 2 Duo or AMD equivalent ;2 GB RAM ;DirectX compatible graphics card ;
532900;;Intel Core i3 ;3 GB RAM ;Anything released after 2012 ;
532920;;Dual core recommended ;2 GB RAM ;512mb VRAM recommended DirectX: Version 10 ;
532980;;;;;
533010;Requires a 64-bit processor and operating system ;i5-4440 ;8 GB RAM ;GTX 460 or equivalent Network: Broadband Internet connection ;
533030;;600 Mhz ;128 MB RAM ;;
533040;;2.0 GHz ;1024 MB RAM ;;
533050;最低配置: 操作系统:  7 SP1+ 处理器: Intel Core 2 Duo 内存: 1024 MB RAM 图形: shader 3.0 supporting card (i.e. Intel HD Graphics 4000) DirectX 版本: 9.0a 存储空间: 需要 512 MB 可用空间 附注事项: DX9 (shader model 3.0) support;;;;
533060;;1.0 GHz ;512 MB RAM ;;
533070;;1.6 GHz ;1024 MB RAM ;;
533080;;1.4 GHz ;1024 MB RAM ;;
533090;;1.4 GHz ;1024 MB RAM ;;
533150;;2.0+ GHz ;512 MB RAM ;Integrated Graphics DirectX: Version 8.0 ;
533170;;2.5 GHz ;2 GB RAM ;integrated GC with OpenGL support ;
533180;;Intel Core 2 Quad/ Core i3 or equivalent AMD ;1024 MB RAM ;NVIDIA GeForce 8800 / AMD Radeon HD 4850 or equivalent videocard DirectX: Version 10 Network: Broadband Internet connection ;
533260;;Intel(R) Core(TM) i5 CPU M 460 @ 2.53GHz ;3 GB RAM ;NVIDIA GeForce 310M ;
533280;;core i3, AMD FX 8000 ;2 GB RAM ;Nvidia GTX 260, AMD Radeon HD6750 DirectX: Version 10 ;
533300;;Intel Celeron 1800 MHz ;256 MB RAM ;Intel HD Graphics DirectX: Version 9.0 ;
533320;;Quad Core or Higher ;1 GB RAM ;Intel HD Graphics Family DirectX: Version 9.0c ;
533330;;Dual core from Intel or AMD at 2.0 GHz ;2 GB RAM ;nVidia 320M or higher, or Radeon 7000 or higher, or Intel HD 3000 or higher DirectX: Version 9.0c ;
533340;;AMD Phenom 9550 ;2048 MB RAM ;Radeon 4800 or gtx 560 ;
533360;;;;;
533470;;1GHz ;512 MB RAM ;;
533480;;1 GHz ;3 GB RAM ;DirectX 9 or later with 1 GB RAM ;
533540;Минимальные: ОС: Microsoft  Vista Процессор: 1.8 GHz Pentium 4 Оперативная память: 2 GB ОЗУ Видеокарта: 1280 x 720 DirectX: Версии 11 Место на диске: 3 GB;;;;
533580;;1.7Ghz+ ;1 GB RAM Hard Drive: 10 MB available space;;
533630;;Intel Core2 Duo E8435 @ 3.06GHz ;4 GB RAM ;GeForce GT 230 ;
533660;;Intel i3 / AMD FX ;2 GB RAM ;NVIDIA GTX 970 DirectX: Version 9.0 ;
533690;;i5 ;4 GB RAM ;"&gt; 2 GB Graphics Card DirectX: Version 11 ";
533770;;Intel Atom N450 ;1 GB RAM ;Intel GMA 3150 DirectX: Version 9.0 ;
533780;;Core 2 Duo or equivalent - 1.5 GHz or higher ;512 MB RAM ;256 MB VRAM DirectX: Version 9.0b ;
533820;;Intel Pentium 4 2.Ghz or above Graphics: Minimum 640x480 Desktop Resolution Hard Drive: 500 MB available space Sound Card: Stereo Sound;;;
533850;;Quad-core Intel or AMD processor, 2.5 GHz or faster ;8 GB RAM ;NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series card or higher ;
533860;;SSE2 instruction set support ;128 MB RAM ;;
533890;;Dual Core processor ;2 GB RAM ;Compatible with DirectX11 with 1024 MB RAM or better DirectX: Version 11 ;
533920;;2 GHz ;4 GB RAM ;1024 MB or higher DirectX: Version 9.0c ;
533950;;1.7 GHz Dual Core or Greater ;1 GB RAM ;GeForce GT 520MX or higher discrete graphics ;
533960;;Intel® Core™ 2 Duo / AMD Athlon™ 64 X2 3800+ ;2 MB RAM ;NVIDIA® GeForce® 6800 GT @ 512MB / ATI® Radeon™ X1900XT @ 512MB or better DirectX: Version 9.0 ;
533970;;CPU: Intel i5-4590, AMD FX 8350 equivalent or better ;4 GB RAM ;Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better ;
534000;;intel i5 ;8 GB RAM ;GTX 960 DirectX: Version 10 ;
534010;;1 GHz ;1024 MB RAM ;512 Mb DirectX: Version 9.0 ;
534190;;AMD  A6-3420M APU with Radeon HD Graphics 1.50 Gz ;4 GB RAM ;AMD Radeon(TM) HD 6520G ;
534200;;Dual Core 2Ghz ;2 GB RAM ;Intel HD 3000 DirectX: Version 11 ;
534210;;Modern CPU Graphics: Modern AMD, NVIDIA, or Intel GPU DirectX: Version 9.0c Network: Broadband Internet connection Hard Drive: 1500 MB available space Sound Card: Standard;;;
534220;;Intel Core i5 / AMD Phenom II X3 more ;8 GB RAM ;NVIDIA GeForce GTX 660 / AMD Radeon HD 7950 more DirectX: Version 10 ;
534230;Requires a 64-bit processor and operating system ;Intel Core i5 ;8 GB RAM ;NVIDIA GeForce GTX 970 DirectX: Version 10 ;
534240;;2.93 GHz ;2 GB RAM ;NVIDIA NVS 3100M 512MB ;
534270;;Intel Core Duo 2 2.5 GHz ;512 MB RAM ;Onboard graphic card DirectX: Version 9.0c ;
534290;;1GHz+ ;512 MB RAM ;128 MB ;
534320;;Intel i3 ;2 GB RAM ;Intel HD 4000 DirectX: Version 9.0c Network: Broadband Internet connection ;
534350;;2.0GHz ;1 GB RAM ;;
534360;;Dual Core 3.0 GHz ;2 GB RAM ;DirectX 10 class GPU with 1024MB VRAM DirectX: Version 10 ;
534370;Requires a 64-bit processor and operating system ;Intel Core I5 2,3 GHz ;4 GB RAM ;Geforce 560 GTX 2 GB DirectX: Version 11 ;
534430;;Intel® i5-4590 / AMD FX 8350 equivalent or greater ;4 GB RAM ;NVIDIA GeForce® GTX 1060 / AMD Radeon™ RX 480 equivalent or greater ;
534440;;Intel i5-4590 or AMD FX 8350 equivalent or greater ;4 GB RAM ;Nvidia GeForce GTX970, or AMD Radeon R9 290 equivalent or greater DirectX: Version 11 ;
534460;;intel core i7 - 6700 3.4GHz ;16 GB RAM ;Nvidia GeForce GTX 980 ;
534480;Betriebssystem:  7 Prozessor: Intel Core i5-4590 (or equivalent) Arbeitsspeicher: 8 GB RAM Grafik: GeForce GTX 970 (or equivalent) Speicherplatz: 600 MB verfügbarer Speicherplatz;;;;
534550;;2 Ghz+ ;1 GB RAM ;Shader Model 5.0 (DX11 support required), 2 GB available graphics memory DirectX: Version 11 ;
534560;Requires a 64-bit processor and operating system ;2.4 GHz Dual core ;4 GB RAM ;NVIDIA GTX 260 or ATI 4850 DirectX: Version 12 ;
534570;;1.2Ghz+ ;1 GB RAM Hard Drive: 200 MB available space;;
534680;;Intel Core 2 Duo equivalent or better ;2 GB RAM ;Intel HD 4000 or better, OpenGL 2 compatible ;
534720;Requires a 64-bit processor and operating system ;Intel Core i5-4590 ;4 GB RAM ;GeForce GTX 970 DirectX: Version 11 ;
534780;;Dual-core Intel / AMD 2GHz or better ;4096 MB RAM ;NVIDIA GeForce 8600 GT / AMD Radeon HD 2400 XT / Intel HD Graphics 3000 or better DirectX: Version 9.0 Network: Broadband Internet connection ;
534880;;Intel i5-4590 / AMD FX 8350 equivalent or greater ;4 GB RAM ;NVIDIA GeForce® GTX 970 / AMD Radeon™ R9 290 equivalent or greater DirectX: Version 11 ;
534910;;Dual-Core: 2Ghz ;2 GB RAM ;512MB;
534920;Requires a 64-bit processor and operating system Processor: Intel i5-4590 equivalent or greater Memory: 8 GB RAM Graphics: NVIDIA GTX 970 / AMD R9 290 equivalent or greater Hard Drive: 250 MB available space;;;;
534960;;Intel® Core™ i3-3250T Processor ;4 GB RAM ;GeForce GT630 ;
534980;;1Ghz ;1 GB RAM ;DirectX or OpenGL compatible card ;
535000;Requires a 64-bit processor and operating system ;Intel/AMD SSE2 2.0GHz ;2 GB RAM ;GPU with OpenGL 3.2 support e.g. Intel HD Graphics 4400 / GeForce 210 / AMD Radeon R5 M200 / HD 8500M / HD 8470D ;
535010;;Intel Core i5 4590 or AMD FX 8350 or greater. ;4 GB RAM ;GeForce GTX 970 or AMD Radeon R9 290 or better. ;
535150;;Core i5 or above ;1 GB RAM ;1GB DirectX: Version 9.0c ;
535160;;i3 or equivalent ;2 GB RAM ;GTS 250 or equivalent DirectX: Version 10 Network: Broadband Internet connection ;
535170;;Core i3 / AMD A6 2.4Ghz ;1 GB RAM ;NVIDIA GeForce GT 240 / AMD Radeon HD 4670 / Intel HD Graphics 4000 DirectX: Version 10 ;
535190;Requires a 64-bit processor and operating system ;Intel i5-4590 / AMD FX 8350 ;6 GB RAM ;NVIDIA GeForce GTX 970 / AMD Radeon R9 290 DirectX: Version 11 ;
535230;;2.8 Ghz ;4 GB RAM ;3D Accelerated Card (Not Integrated) ;
535240;;Intel® Core™ 2 Duo or AMD Phenom™ X3 or better ;4 GB RAM ;DirectX 9 compatible with support for Pixel Shader 3.0 DirectX: Version 9.0c ;
535260;;Intel i3 3GHz ;2 GB RAM ;DirectX 11 compatible DirectX: Version 11 ;
535270;Requires a 64-bit processor and operating system ;Dual Core Processor ;4 GB RAM ;DX11 GPU with 1GB VRAM: NVidia GTX 460/ AMD Radeon 5850 DirectX: Version 11 ;
535280;最低配置: 操作系统: All  处理器: İntel Generic Processor 内存: 1 GB RAM 图形: Generic Screen Card DirectX 版本: 9.0 存储空间: 需要 600 MB 可用空间 声卡: Generic Sound Card;;;;
535290;;Pentium Dual Core ;1 GB RAM ;HD4400 ;
535330;;Direct X9.0 Compatible Card ;1 GB RAM ;Direct X9.0 Compatible Card DirectX: Version 9.0 ;
535350;;Intel Core2 Duo or better ;512 MB RAM ;1024x768 High Color + DirectX: Version 9.0 ;
535370;;Intel Pentium 1.4GHz ;2 MB RAM ;On-board graphic card ;
535380;Requires a 64-bit processor and operating system ;Intel i5-4590 ;8 GB RAM ;NVIDIA GeForce GTX 970 DirectX: Version 11 ;
535400;;2.0+ GHz ;512 MB RAM ;Integrated Graphics ;
535410;;i5 4590 ;4 GB RAM ;Nividia GTX 970 DirectX: Version 11;
535440;;Dual Core ;2 GB RAM ;NVidia GT 650M DirectX: Version 11 ;
535460;Requires a 64-bit processor and operating system ;Intel Core i5 4590 or AMD FX 8350 ;4 GB RAM ;GeForce GTX 970 or AMD Radeon R9 290 ;
535480;;1.8 GHz Processor ;4 GB RAM ;DirectX 10-compatible graphics card with at least 256MB of video memory DirectX: Version 10 ;
535490;;1.4 Ghz ;2 GB RAM ;DirectX® 10 Compatible Graphics Card DirectX: Version 10 ;
535520;;3.0 GHz Dual Core CPU ;1 GB RAM ;GPU with at least 256MB of VRAM DirectX: Version 9.0c ;
535530;Requires a 64-bit processor and operating system ;i5 6500 ;4 GB RAM ;GTX970 DirectX: Version 10 ;
535630;;2.4GHz Dual Core ;2 GB RAM ;NVIDIA GeForce 9800 DirectX: Version 10 Network: Broadband Internet connection ;
535650;Requires a 64-bit processor and operating system ;Intel Core i5-4590 equivalent or greater ;8 GB RAM ;Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or greater DirectX: Version 11 ;
535680;;Pentium III 700 MHz ;256 MB RAM ; DirectX: Version 8.1 ;
535690;;Intel Core i5-2400/AMD FX-8320 or better ;8 GB RAM ;NVIDIA GTX 670 2GB/AMD Radeon HD 7870 2GB or better Network: Broadband Internet connection ;
535700;;Dual-Core: 2Ghz ;2 GB RAM ;256Mb DirectX: Version 9.0c ;
535750;Requires a 64-bit processor and operating system ;Intel i5-4590, AMD FX 8350 or better ;4 GB RAM ;Nvidia GeForce GTX 970, AMD Radeon R9 290 or better ;
535760;;Intel Core2 Duo or better ;2 GB RAM ;OpenGL 4.1 capable GPU DirectX: Version 9.0 ;
535840;Requires a 64-bit processor and operating system ;Intel Core i7-2600K ;2 GB RAM ;NVIDIA GeForce GTX 750 Ti ;
535850;Requires a 64-bit processor and operating system ;AMD FX Series or Intel Core i3 Series ;4 GB RAM ;AMD HD5570 or NVIDIA GT440 with 1GB of VRAM (DirectX 11 graphics card required) DirectX: Version 11 Network: Broadband Internet connection ;
535890;;Intel core 2 quad 2.4GHz ;2 GB RAM ;NVidia 7600, ATI X1600 or better DirectX: Version 9.0c ;
535910;;Dual Core 2.0ghz ;256 MB RAM ;gForce 8800 DirectX: Version 9.0c ;
535930;Requires a 64-bit processor and operating system ;Intel Core i3 6100 or AMD FX-4350 ;4 GB RAM ;NVIDIA Geforce GT 1030, 2GB (Legacy: NVIDIA GeForce GTX 460), AMD RX550, 2GB (Legacy: AMD Radeon HD 6850), Integrated: Intel HD Graphics 630 DirectX: Version 11 ;
535980;;;;;
536040;;Dual core Intel/AMD 1.8 GHz ;2 GB RAM ;Intel HD 3000 DirectX: Version 10 ;
536050;;CPU: Intel i5-4590 equivalent or better ;4 MB RAM ;Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or better ;
536210;Requires a 64-bit processor and operating system ;Intel i5-4590 equivalent or greater ;8 GB RAM ;NVIDIA GTX 970 / AMD 290 or equivalent DirectX: Version 11 ;
536230;;Intel i5-4590 equivalent or greater ;8 MB RAM ;NVIDIA GTX 970 / AMD 290 equivalent or greater DirectX: Version 11 ;
536320;;Intel(R) Pentium(R) CPU 2.13 GHz ;2048 MB RAM ;NVIDIA GTS 450 or better ;
536340;;Intel Core i3 ;4 GB RAM ;Supporting DirectX 9.0c from NVIDIA or AMD ATI, with 1 GB of video memory. DirectX: Version 9.0 ;
536370;;Intel® i5-4590, AMD FX 8350 equivalent or better ;4 GB RAM ;NVIDIA GeForce® GTX 970, AMD Radeon™ R9 290 equivalent or better, Video Output: HDMI 1.4, DisplayPort 1.2 or newer ;
536410;;Core 2 Quad 2.6 GHZ ;4 GB RAM ;NVIDIA GeForce GTX 660/ AMD HD 8750 DirectX: Version 11 ;
536420;;1.6 GHz ;128 MB RAM ;DirectX 9.0 Compatible DirectX: Version 9.0 ;
536430;;1.7 GHz Dual Core ;2 GB RAM ;NVIDIA GeForce GTX 260, ATI Radeon 4870 HD, or equivalent card with at least 512 MB VRAM ;
536450;;Intel Atom N2800 ( 1.86 GHz Dual core ) ;512 MB RAM ;Intel GMA 3600 graphics (Integrated) DirectX: Version 9.0c ;
536470;;1.4GHz processor or faster ;2 GB RAM ;Any graphics card that can handle WebGL ;
536490;;Core 2 duo 1.5 ghz or gretter ;1 GB RAM ;Opengl 1.4 or better DirectX: Version 9.0 ;
536510;;1.1 Ghz ;512 MB RAM ;OpenGL / DirectX compliant card ;
536530;Requires a 64-bit processor and operating system ;i5 or equivalent ;2 GB RAM ;Nvidia GTX 560 or equivalent DirectX: Version 11 ;
536560;;Intel Core i3 ;2 GB RAM ;nVidia GeForce 7900 GT or better / AMD Radeon X1900 DirectX: Version 9.0c Network: Broadband Internet connection ;
536630;;Intel Core2Quad Q6600 2,40 GHz ;2 GB RAM ;GeForce GTX 290 ;
536640;;Intel Core 2 Duo 2.4Ghz ;2 GB RAM ;NVIDIA® GeForce® 8600 GT or ATI Radeon™ HD 4850 Minimum 512MB Dedicated Memory DirectX: Version 9.0 ;
536660;;Dual Core Processor ;4 GB RAM ;Modern Dedicated Graphics Card ;
536670;;Intel® Core™ m3, AMD Quad-Core 2.5GHz ;4 GB RAM ;Intel® HD 615, Nvidia GT640, AMD Radeon HD7750, 1GB Vram DirectX: Version 11 ;
536680;Requires a 64-bit processor and operating system ;Intel i3 processor ;4 GB RAM ;Nvidia / ATI Card DirectX: Version 11 ;
536690;;Intel Core i3 2100 or AMD A8-6500 ;2 GB RAM ;GeForce GTX 560 or Radeon R7 260 DirectX: Version 10 ;
536750;;Intel Core 2 Duo @2GHz ;2 GB RAM Hard Drive: 40 MB available space;;
536770;;1Ghz ;512 MB RAM ;DirectX or OpenGL compatible card ;
536780;;2 GHz ;1 GB RAM ;256 MB VRAM DirectX: Version 9.0b ;
536800;;Intel i5-4590 ;8 GB RAM ;NVIDIA GeForce GTX 970 DirectX: Version 11 ;
536890;;Dual Core 2+ ghz ;2 GB RAM ;Intel HD Graphics 3000, GeForce 8600, Radeon HD 3650 or better DirectX: Version 9.0c ;
536920;Requires a 64-bit processor and operating system ;i3 ;8 GB RAM ;GTX 570 DirectX: Version 9.0c ;
536930;Requires a 64-bit processor and operating system ;Intel / AMD Dual-Core 1.6 GHz ;2 GB RAM ;NVIDIA GeForce 8800 GT series or GeForce GT 240 series or higher / ATI Radeon HD 4770 512MB series or higher DirectX: Version 9.0c Network: Broadband Internet connection ;
536950;;Pentium 3 (700GHz) Graphics: 128MB RAM DirectX: Version 9.0 Network: Broadband Internet connection Hard Drive: 15 GB available space;;;
536960;Requires a 64-bit processor and operating system ;CPU: Intel Core i5 4590 or greater Graphics: Graphics Card: GeForce GTX 970 or AMD Radeon R9 290 or better;;;
536990;;2 GHz Dual Core ;1 GB RAM ;512MB VRAM, OpenGL 3.3 ;
537000;Requires a 64-bit processor and operating system ;Intel Core i5-2400/AMD FX-8320 or better ;4 GB RAM ;Nvidia Geforce GTX 670, AMD Radeon HD 7870 or better DirectX: Version 10 ;
537020;;Intel Core i3 or equivalent ;2 GB RAM ;1GB Graphics card supporting DX9 (Shader model 3.0) DirectX: Version 9.0c ;
537050;;2.5 GHz Intel Pentium 4 / AMD Athlon 64 ;2 GB RAM ;512 MB NVIDIA GeForce 8800GS / ATI Radeon HD 3870 or better ;
537060;;Intel Core i5 4590 or AMD FX 8350 ;4 GB RAM ;GeForce GTX 970 or AMD Radeon R9 290 ;
537090;最低配置: 操作系统:  7 处理器: AMD Athlon(tm) II X4 645 Processor 内存: 40 MB RAM 存储空间: 需要 64 MB 可用空间;;;;
537100;;;;;
537110;;Intel Core2 Duo or higher ;2 GB RAM ;Open GL compliant video card ;
537130;;2.33GHz or faster x86-compatible processor, or Intel Atom™ 1.6GHz or faster processor for netbook class devices ;512 MB RAM ;1280x720 display (1280x1024 recommended) with 16-bit video card ;
537140;;Intel Core i5-4590 or AMD FX 8350, equivalent or better ;6 GB RAM ;NVIDIA GeForce GTX 970, equivalent or better DirectX: Version 11 ;
537170;;Intel Core Duo 2 2.5 GHz ;1 GB RAM ;ATI Radeon HD 4800 Series DirectX: Version 9.0c ;
537180;;Pentium4 2.8G / Sempron 2800 ;2 GB RAM ;Nvidia GeForce FX5200 or higher DirectX: Version 9.0c Network: Broadband Internet connection ;
537200;;1000 ;1024 MB RAM ;512 Mb DirectX: Version 9.0 ;
537280;;core 2 duo ;1 GB RAM ;nvidia gt610 or equivalent DirectX: Version 9.0c Sound Card: Realtek Aydio HD;
537340;;2 GHz Dual Core ;2 GB RAM ;GeForce GT 650M / Radeon R9 M375 or higher graphics card (see Additional Notes below). DirectX: Version 9.0c ;
537360;;;;;
537380;;Virtually Any ;1 GB RAM ;OpenGL 3.0 ;
537430;;AMD Quad-Core / Intel Dual-Core processor running at 2.8 GHz (AMD Phenom II X4 or Intel Pentium Dual-Core G600 series or newer architectures are recommended). ;4096 MB RAM ;ATI/NVIDIA dedicated/integrated or mobile graphic card, with at least 1536MB of dedicated VRAM and with at least DirectX 11 and Shader Model 5.0 support. ATI/AMD Radeon HD 7700 series and NVIDIA GeForce GTX 700 series or newer architectures are recommended. DirectX: Version 11 Network: Broadband Internet connection ;
537450;Requires a 64-bit processor and operating system ;Intel Core i5 3550 @ 3.3 GHz or AMD FX-6300 ;8 MB RAM ;AMD Radeon R7 370 or NVIDIA GeForce GTX 660/570 DirectX: Version 11 ;
537520;;Mobile or desktop Dual-Core, Intel Core 2 Duo / AMD Athlon 2 X2 or newer architectures are recommended) ;2048 MB RAM ;AMD/NVIDIA/INTEL integrated, mobile or dedicated graphic card, 1024MB VRAM,  DirectX 10,  Shader Model 4.0 support DirectX: Version 10 Network: Broadband Internet connection ;
537540;;Intel Core i3 ;1 GB RAM ;128mb GPU DirectX: Version 8.0 Network: Broadband Internet connection ;
537590;;i5 4590 ;4 GB RAM ;GTX 980 DirectX: Version 11 ;
537630;;1.8 GHz Processor ;4 GB RAM ;DX11 Video Card - 1GB DirectX: Version 11 Network: Broadband Internet connection ;
537660;;AMD or Intel, 1.5GHz+ ;2 GB RAM ;Intel HD Graphics or better (needs OpenGL 2.0 or higher) ;
537700;;1 Ghz and up ;1 GB RAM ;GeForce 9500 GT (512 MB) or Radeon HD 6450 (512 MB) DirectX: Version 9.0 ;
537740;;Dual Core CPU Graphics: Dedicated Graphic Card;;;
537750;;1,6 GHz ;3 GB RAM ;Nvidia GeForce 9400M G graphics DirectX: Version 11 ;
537760;;1 GHz ;1 GB RAM ;any DirectX: Version 9.0 ;
537800;;Intel Core i3-530 (4 * 3000) or equivalent ;2 GB RAM ;Geforce 9800 GT (1024 MB) ;
537920;Requires a 64-bit processor and operating system ;i5 ;4096 MB RAM ;Nvidia 980 DirectX: Version 11 ;
537990;Requires a 64-bit processor and operating system ;Intel Core2 Duo E6550 or AMD equivalent or above ;4 GB RAM ;NVIDIA Geforce GT440（512M）or AMD Radeon equivalent or above DirectX: Version 11 Network: Broadband Internet connection ;
538000;;Intel® i5-4590, AMD FX 8350 equivalent or better ;4 GB RAM ;NVIDIA GeForce® GTX 970, AMD Radeon™ R9 290 equivalent or better, Video Output: HDMI 1.4, DisplayPort 1.2 or newer DirectX: Version 9.0c Additional Notes: 1x USB 2.0 or better port also required;
538040;;Intel Core i5 - 4590 equivalent ;4 GB RAM ;AMD R9 290 or NVIDIA GTX 970 ;
538050;Requires a 64-bit processor and operating system ;Intel Core i5-4590 equivalent or greater ;6 GB RAM ;Nvidia GeForce GTX 970, AMD Radeon R9 290 equivalent or greater DirectX: Version 11 ;
538060;;AMD Atholon 64 X2 Dual-Core 4000+ or better / Intel Core 2 Duo Processor 2.0GHz or better ;2048 MB RAM ;ATI X1800 or better / nVidia 7800 or better / Intel 4100 or better. 512MB Video RAM DirectX: Version 11 ;
538070;;2 GHz ;1 GB RAM ;Default DirectX: Version 9.0 ;
538100;;2 Ghz ;2048 MB RAM ;512 mb video memory DirectX: Version 9.0 ;
538110;;Intel Core i5 4590 ;8 GB RAM ;GeForce GTX 970 or AMD Radeon R9 290 ;
538170;;Core 2 Duo ;2 GB RAM ;nVidia GeForce 7 / AMD Radeon X16xx DirectX: Version 9.0 ;
538220;;;;;
538330;;Core i5-4590 3.3GHz / FX-8350 ;8 GB RAM ;NVidia GeForce GTX 970 4GB / Radeon R9 290 DirectX: Version 11 ;
538390;;core i3 ;1 GB RAM ;gtx 460 DirectX: Version 11 ;
538410;;Intel i5-4590 or AMD FX 8350 ;4 GB RAM ;Nvidia GeForce GTX970, or AMD Radeon R9 290 ;
538470;;intel(r) core(tm) i5-3317u cpu @ 1.70ghz ;8192 MB RAM ;intel hd 4000 DirectX: Version 11 ;
538490;;Intel Core i7 ;8 GB RAM ;Nvidia GeForce GTX 970 ;
538510;;Intel i5 ;2 GB RAM ;Nvidia GTX 970 ;
538550;;1.5 Ghz Processor ;1024 MB RAM ;GTX260/AMD5870  or above DirectX: Version 9.0c ;
538560;;AMD A6-4400M ;4 GB RAM ;Radeon HD7520G DirectX: Version 9.0c ;
538590;;1.5 Ghz ;1 GB RAM ;512 MB GRAM ;
538680;;Intel Atom x7-Z8700 2.4 GHz ;4 GB RAM ;Shader Model 5 (GeForce 400 / Radeon HD 5000 / Intel post-2012 series) DirectX: Version 11 ;
538700;;Any 64 or 32 bit processor ;1 GB RAM ;DirectX or OpenGL Compatible Video card DirectX: Version 9.0 ;
538710;Requires a 64-bit processor and operating system ;Intel i5-4590, AMD FX 8350 equivalent or greater ;8 GB RAM ;NVIDIA GTX 970 / AMD 290 equivalent or greater DirectX: Version 11 Sound Card: N/A Additional Notes: Dead Hungry is made for and requires Oculus Touch or Vive SteamVR controllers to play;
538790;;Intel® i5-4590 ;8 GB RAM ;NVIDIA GeForce GTX 970 DirectX: Version 11 Network: Broadband Internet connection ;
538810;;Pentium Core 2 Duo ;4 GB RAM ;Geforce GT560 DirectX: Version 11 ;
538840;;Intel Core i5 2430M Sandy Bridge ;2 GB RAM ;1 GB VRAM ;
538880;;2.0GHz CPU ;2 GB RAM ;512MB graphics card ;
538900;Requires a 64-bit processor and operating system ;Intel i5 or equivalent ;4 GB RAM ;Radeon RX 480 DirectX: Version 9.0c ;
538920;;Intel Pentium IV 2.8 GHz ;1536 MB RAM ;Intel HD 2000 DirectX: Version 9.0 ;
538950;;Intel i5-4590, AMD FX 8350 equivalent or better. ;8 GB RAM ;NVIDIA GTX 970 or AMD 290 Network: Broadband Internet connection ;
538990;;Intel® Core™ 2DUO/AMD 64 2 GHz ;4 GB RAM ;GTX 460/Radeon HD 6950 DirectX: Version 11 ;
539050;;Intel Core i5-4590 or AMD FX 8350, equivalent or better ;4 GB RAM ;GeForce GTX 970 or AMD Radeon R9 290 or better DirectX: Version 11 ;
539090;;Intel i5-4590 equivalent or better ;8 GB RAM ;NVIDIA GTX 970/AMD 290 equiivalent or bettert ;
539190;Requires a 64-bit processor and operating system ;Intel i5-4590, AMD FX 8350 ;4 GB RAM ;Nvidia GeForce GTX 970, AMD Radeon R9 290 Network: Broadband Internet connection ;
539270;;Intel Pentium Dual-Core E5200 (2.5GHz) ;4 GB RAM ;Intel HD Graphics 4000 DirectX: Version 11 ;
539280;;Intel Pentium Dual-Core E5200 (2.5GHz) ;4 GB RAM ;Intel HD Graphics 4000 DirectX: Version 11 Network: Broadband Internet connection ;
539290;;Intel Pentium Dual-Core E5200 (2.5GHz) ;4 GB RAM ;Nvidia GeForce 9500 GT / ATI(AMD) Radeon HD4650 DirectX: Version 11 ;
539300;;Intel Pentium Dual-Core E5200 (2.5GHz) ;4 GB RAM ;Intel HD Graphics 4000 DirectX: Version 11 ;
539330;Requires a 64-bit processor and operating system Processor: Intel Core 2 Duo Memory: 2 GB RAM Graphics: NVidia GeForce GTS 450 Hard Drive: 1 GB available space;;;;
539340;Requires a 64-bit processor and operating system ;2.4GHz Intel Core i5 ;4 GB RAM ;Intel Iris Graphics ;
539350;;Quad-core Intel or AMD, 2.5 GHz or faster ;4 GB RAM ;NVIDIA GeForce 460 GTX or AMD Radeon 6770 HD DirectX: Version 10 ;
539370;;2 GHz Quad Core ;2 GB RAM ;DirectX 10 compatible dedicated GPU DirectX: Version 10 ;
539380;;i5 ;4 GB RAM ;"&gt; 2 GB Graphics Card DirectX: Version 11 ";
539400;;Core2Duo 1.0 GHz ;2048 MB RAM ;512MB Video RAM, OpenGL 1.1+ DirectX: Version 9.0 ;
539440;;Intel Dual Core 2.7ghZ+ (eg Pentium G630)/ AMD equivalent ;2 GB RAM ;OpenGL 2.1 or OpenGL ES 2+ capable graphics card/drivers ;
539450;;1.2 Ghz+ ;1024 MB RAM ;256 MB ;
539460;;1GHz processor ;1 GB RAM ;3D graphics card with 512Mb DirectX: Version 9.0 ;
539560;Memory: 2 GB RAM Hard Drive: 300 MB available space;;;;
539640;;2.0+ GHz ;512 MB RAM ;OpenGL 2.0+ Support ;
539650;;Pentium III 800 Mhz ;1 GB RAM ;GeForce FX 5200 or Radeon 7600 64 MB, RAM: 512 MB DirectX: Version 9.0 Network: Broadband Internet connection ;
539660;;1.2 GHz Pentium 4 ;2 GB RAM ;1280 x 720 DirectX: Version 9.0c ;
539670;;1.2 GHz Pentium 4 ;1 GB RAM ;1280 x 720 DirectX: Version 9.0c ;
