steam_appid;Mesclado.1;Processador_min.1;RAM_min.1.1;GPU_min.1;
3010; Windows 98/ME/2000/XP, P III/AMD Athlon processor with 1.3 GHz, 256 MB RAM, Video card with, 64 MB, DX 8.0 compatible (GeForce 3 or ATI Radeon 9200), Sound card DX 8.0 compatible, 1 GB of free space on hard drive, DirectX 9.0c, 56k Modem (for Internet multiplayer mode);;;;
3020;® Windows 2000/XP (only), 2.2 GHz Pentium® 4, AMD Athlon™ 2400+, or 2.4 GHz Celeron or better (3 GHz Pentium 4, AMD Athlon 3000+, or 3 GHz Celeron or better recommended), 512 MB RAM (1 GB recommended), nVidia: GF6600, ATI: Radeon 9800 or better video card*, DirectX 9-compliant sound device, DirectX 9.0c or higher, 2 GB Hard Drive Space, OS: -compliant mouse and keyboard *Supported Video Cards at Time of Release: nVidia GeForce 6600, 6800, 7600, 7800, 7900 ATI Radeon: 9800, X800, X1300, X1600, X1800. X1900OS: OS: ;;;;
3050;Supported ;P4/AMD Athlon processor with 1.8GHz                      ;256MB RAM                     ;Graphics card with 128MB, DX 9.0 compatible (GeForce FX 5700 or ATI Radeon 9600)                     DirectX Version: DirectX 9.0c                      Sound: DirectX 8.0 compliant sound device                      ;
3130;;Intel Pentium 4 2,6 GHz (Athlon 3000+) ;1 GB RAM ;NVIDIA GeForce 6200 or ATI Radeon 9600 (128 MB RAM) DirectX®: 9.0c ;
3170;;2.6GHz ;1GB ;nVidia GeForce 6600 with 128 MB or equivalent ATI ;
3230; Windows 2000/XP/XP 64/Vista, 1.5 GHz Intel or equivalent/faster processor, 512 MB of RAM, 2.5 GB of hard disk space, DirectX9.0c or higher, 128 MB GeForce 4 4200 Ti/Radeon 9500, DirectSound compatible sound card, Keyboard and two-button mouse with scroll wheel, Multiplayer: LAN or 56K Internet connection  Windows 2000/XP/XP 64/Vista, 2.5 GHz Intel or equivalent/faster, 1 GB RAM, 2.5 GB of free hard drive space, 256 MB GeForce 6600/Radeon X1600, DirectX 9.0c, DirectSound compatible sound card with 5.1 speaker output, Keyboard and two-button mouse with scroll wheel;;;;
3260;® Windows 2000/SO: Windows XP, 800 MHz Pentium® III or equivalent/ faster processor, 64 MB of RAM, DirectX 9.0c or higher, 64 MB DirectX® 9.0c compliant video card, DirectX® 9.0c compatible sound card, mouse, keyboard  Windows XP, 1 GHz Intel Pentium 4 or equivalent/faster, 128 RAM, 64 MB DirectX® 9.0c Compliant Video Card, DirectX 9.0c, 3D Compatible sound card, mouse, keyboard;;;;
3270;MINIMUM Supported ;1.5 GHz Intel Pentium III or AMD Athlon processor RAM: 512MB RAM Hard Drive: 2.5 GB available DirectX Version: 128 MB DirectX(R) 9 Compatible Video Card (NVIDIA(R) GeForce(R) FX 5600, ATI(TM) Radeon(TM) 9600 or Better) Sound: DirectX 9 or better compatible sound cardRECOMMENDED Supported OS: Microsoft(R) Windows(R) XP/Vista Processor: 2.4 GHz Intel Pentium 4 or AMD Athlon processor RAM: 1024 MB Hard Drive: 2.5 GB available DirectX Version: 256 MB DirectX(R) 9 Compatible Video Card (NVIDIA(R) GeForce(R) 7800, ATI(TM) Radeon(TM) X1800 or Better) Sound: DirectX 9 or better compatible sound card;;;
3330; Windows 98/ME/2000/XP, 128 MB RAM, 500MHz or faster, DirectX: 7.0;;;;
3410; Windows 98/ME/2000/XP, 128 MB RAM, 500MHz or faster, DirectX: 7.0;;;;
3480; Windows 98/ME/2000/XP/Vista, 256 MB RAM, 500MHz or faster, DirectX: 7.0;;;;
3483; Windows 2000/XP/Vista, 256 MB RAM, 700MHz or faster, DirectX: 7.0;;;;
3490; Windows 98/ME/2000/XP, 128 MB RAM, 500MHz or faster, DirectX: 7.0;;;;
3500;;Intel Pentium 350Mhz or greater RAM: 128 MB RAM or greaterHard drive: 75 MB of free spaceVideo: 16-bit graphics cardAudio: 16-bit audio card;;;
3510;;350 Mhz Pentium or greater CPU;128 MB RAM or greater;16-bit Graphics and Sound cardDirectX Version: DirectX7 or later;
3520;;350Mhz Pentium or greater;256 MB RAM or greater;16-bit Graphics cardDirectX Version: DirectX7 or laterSound: 16-bit Sound card;
3530;;350Mhz Pentium or greater CPU                    ;128 MB RAM or greater                    Sound and ;32-bit Graphics and Sound card                    DirectX: DirectX 7 or later                    ;
3540;Supported ;700MHz                    ;"256MB RAM                    Graphics:DirectX-compatible; 16MB                    DirectX® Version: 8                    Sound: DirectX-compatible                    Hard Drive: 50+MB";;
3560;Supported ;1.2GHz processor                    ;256MB of RAM (512+MB recommended)                    Graphics: DirectX-compatible video with 32MB of video memory                    Sound: DirectX Compatible Sound Card                    Hard Drive: 250MB of free hard drive space;;
3570;;350Mhz Pentium or greater CPU                    ;256 MB RAM or greater                    ;DirectX7 or later                    ;
3580; ;;;;
