publisher,paginas_suporte_por_publisher,jogos_lancados,faturamento_min,suporte_por_jogo
"Dry Cactus",1,1,3595000,1.0000
"Introversion Software",6,6,3595000,1.0000
"THQ Nordic;EuroVideo Medien",1,1,3499000,1.0000
"Square Enix;Feral Interactive (Mac)",4,4,3495000,1.0000
"Hidden Path Entertainment",1,1,3495000,1.0000
"Hemisphere Games",1,1,3495000,1.0000
"Cold Beam Games",1,3,3495000,0.3333
"Streum On Studio",1,1,3495000,1.0000
Zachtronics,7,9,3495000,0.7778
"Final Form Games",1,1,3495000,1.0000
Messhof,3,3,3495000,1.0000
"Nicalis, Inc.",10,12,3495000,0.8333
"MinMax Games Ltd.",2,2,3495000,1.0000
"Devolver Digital;Croteam",5,5,3495000,1.0000
"The Quantum Astrophysicists Guild",2,3,3495000,0.6667
"Black Pants Studio",3,3,3495000,1.0000
"Shiver Games",4,4,3495000,1.0000
"Might and Delight",7,8,3495000,0.8750
"Tomorrow Corporation",2,3,3495000,0.6667
"Abbey Games",2,2,3495000,1.0000
"Nightdive Studios",26,28,3495000,0.9286
Crackshell,2,2,3495000,1.0000
"Nether Productions, LLC",1,1,3495000,1.0000
"Image & Form Games",3,3,3495000,1.0000
"Flippfly LLC",2,2,3495000,1.0000
2Play,2,2,3495000,1.0000
"Dinosaur Polo Club",1,1,3495000,1.0000
"Robot Gentleman",1,2,3495000,0.5000
"34BigThings srl;Digital Tribe",1,1,3495000,1.0000
HuniePot,2,2,3495000,1.0000
HyperReuts,1,1,3495000,1.0000
"Lion Shield, LLC",1,1,3495000,1.0000
Codemasters,14,17,3490000,0.8235
"FireFly Studios",7,8,3490000,0.8750
"Stardock Entertainment",15,15,3098000,1.0000
"9heads Game Studios",2,2,3098000,1.0000
(none),2,2,3098000,1.0000
"Bitbox Ltd.",2,4,3098000,0.5000
"Spike Chunsoft Co., Ltd.",10,15,3098000,0.6667
"Beat Games",0,1,3098000,0.0000
"Madruga Works",1,2,3098000,0.5000
"RUST LTD.",1,1,2998000,1.0000
"Activision;Aspyr (Mac)",4,4,2998000,1.0000
IndiePub,1,1,2998000,1.0000
"Born Ready Games",3,3,2998000,1.0000
"Warner Bros. Interactive Entertainment ",1,1,2998000,1.0000
"The Game Creators",2,2,2998000,1.0000
"Dreadlocks Ltd.;Techland;WhisperGames",1,1,2998000,1.0000
"Stellar Jockeys",1,1,2998000,1.0000
"Lince Works",1,1,2998000,1.0000
"Finish Line Games",1,1,2998000,1.0000
"Oddworld Inhabitants, Inc.",1,1,2998000,1.0000
"Deck13;WhisperGames;DANGEN Entertainment;Mayflower Entertainment",1,1,2998000,1.0000
"The Merchant Guild of Rund (Limited)",1,2,2998000,0.5000
"Night School Studio",1,1,2998000,1.0000
Housemarque,1,1,2998000,1.0000
"Rooster Teeth Games",3,3,2998000,1.0000
"MidBoss, LLC.;AGM PLAYISM",1,1,2998000,1.0000
"Afterthought LLC",1,1,2998000,1.0000
"2K;Feral Interactive (Mac)",3,3,2995000,1.0000
"Bithell Games",2,4,2995000,0.5000
"WOLCEN Studio",1,1,2799000,1.0000
