publisher,paginas_suporte_por_publisher,jogos_lancados,faturamento_min,suporte_por_jogo
"Kishan Emens",1,1,0,1.0000
"Broken Window Studios, LLC",1,1,0,1.0000
"Engage Pixel",1,1,0,1.0000
"Viewer Ready",1,1,0,1.0000
"Rendercode Games",1,1,0,1.0000
"51Pegasi Studios",1,1,0,1.0000
"Arakion LLC",1,1,0,1.0000
VACTOR,1,2,0,0.5000
"Unparalleled Games",1,1,0,1.0000
AtGames,1,1,0,1.0000
"BigBox VR, Inc.",1,1,0,1.0000
"Wolfray Entertainment",1,1,0,1.0000
M.BonKov,1,1,0,1.0000
"First Contact Entertainment",1,1,0,1.0000
Fantogame,1,1,0,1.0000
"Sisyphus Games",1,1,0,1.0000
"Snowdon Games",1,2,0,0.5000
"The Hideout",1,1,0,1.0000
"Rezo Zero",1,1,0,1.0000
InvertedHuman,1,1,0,1.0000
"Gabhel Studios",1,1,0,1.0000
"RL Agency",1,1,0,1.0000
"Fate Dragon Studio",1,1,0,1.0000
"Groove Jones LLC",2,2,0,1.0000
"Framestore VR Studio",1,1,0,1.0000
"Rawkins Games",1,1,0,1.0000
"Wild Planet Studio",1,1,0,1.0000
"BYCODEC TEKNOLOJI LTD",1,1,0,1.0000
"Fulby Technologies",2,2,0,1.0000
"Ludus Games",1,1,0,1.0000
"MyDream Interactive, Inc.",1,1,0,1.0000
"Max Indie Games",1,1,0,1.0000
"Magic and Mirrors",1,1,0,1.0000
"Barkers Crest Studio LLC",1,1,0,1.0000
MediaAtlas,1,1,0,1.0000
"Marcos Dumont",1,1,0,1.0000
NoRulesMakeGame,1,1,0,1.0000
"Hypergolic Games",1,1,0,1.0000
argagonky,1,1,0,1.0000
"EP Games®",2,2,0,1.0000
"The Dragonloft",1,1,0,1.0000
"Synersteel Studio, LLC",1,1,0,1.0000
"Royal Deal Games",0,1,0,0.0000
Zephyo,1,1,0,1.0000
"Beijing Touch the heart interactive technology co., LTD",1,1,0,1.0000
"Enno Gottschalk",1,1,0,1.0000
Netgame,1,1,0,1.0000
"Super Puzzle Studios",1,1,0,1.0000
TheMiddleGray,1,1,0,1.0000
"Himi Games",1,1,0,1.0000
"KADOKAWA GAMES, LTD",1,1,0,1.0000
"Illusion Ranger",1,1,0,1.0000
"Catch & Release, LLC",1,1,0,1.0000
2ndDimensionGhost,1,1,0,1.0000
"World of DASM",1,1,0,1.0000
"Shenzhen Weilaishijie Network Technology Co., Ltd.",1,1,0,1.0000
"Mystery Egg Games",1,1,0,1.0000
"MAGES. Inc.;5pb",1,1,0,1.0000
"Sevenedge Interactive Media",1,1,0,1.0000
"Double Coconut;WhisperGames",1,1,0,1.0000
"Ryzal Games",1,1,0,1.0000
"Insane Mind Games",1,1,0,1.0000
"Beep Games, Inc.",1,1,0,1.0000
Ludax174,1,1,0,1.0000
FLEB,1,1,0,1.0000
"Simmetri, Inc.",1,1,0,1.0000
"Tundra Games Ltd",1,1,0,1.0000
"Studio JAW",1,1,0,1.0000
guyhezi,1,1,0,1.0000
"Robert Gammon",1,1,0,1.0000
"Phun Peeticharoenthum",1,1,0,1.0000
"UUUU Interactive",1,1,0,1.0000
"Nelium Games",1,1,0,1.0000
"Matthew Finitz;Rebel Phoenix Games",1,1,0,1.0000
"Garret Polk",1,1,0,1.0000
"Booblyc OU",1,1,0,1.0000
"Warrior General Games, LLC",1,1,0,1.0000
dekoga.d,1,1,0,1.0000
"Zynk Software Srl",1,1,0,1.0000
"Green Sawdust",0,1,0,0.0000
"Deep Voodoo Gaming",1,1,0,1.0000
"NetEase Games",1,1,0,1.0000
"Martov Company",1,1,0,1.0000
"Haptic Pulse",1,1,0,1.0000
"Brandon Serowski",1,1,0,1.0000
"Drifter Entertainment",1,1,0,1.0000
"Cerevrum Inc. ",1,1,0,1.0000
"DatavizVR Inc.",1,1,0,1.0000
"Warped Tales",1,1,0,1.0000
"Gobbo Games",1,1,0,1.0000
"Crayon Ponyfish, LLC",1,1,0,1.0000
"Jason Chalky",1,1,0,1.0000
"Liam Hughes;Ryan Cooper",1,1,0,1.0000
"Red Limb Studio ",1,1,0,1.0000
"FoxWright Productions",1,1,0,1.0000
.M.Y.W.,1,1,0,1.0000
"Mystified Games",1,1,0,1.0000
"Dazzle Inc.",1,1,0,1.0000
"Notso Entertaining Productions",1,1,0,1.0000
"Red Unit Studios",1,1,0,1.0000
Nuclear,1,1,0,1.0000
"Infernal Anvil Games",1,1,0,1.0000
"Plug In Digital;Fun4Family",1,1,0,1.0000
rakusomoku,1,1,0,1.0000
"Hyperator, Inc.",1,1,0,1.0000
CRAFT,1,1,0,1.0000
RunByCoffee,1,1,0,1.0000
"General Interactive Co.",1,1,0,1.0000
"Cacti Council;BacklotRealities",1,1,0,1.0000
"Gurila Ware Games",1,1,0,1.0000
"Ruby Games",1,1,0,1.0000
"Karman Interactive",1,1,0,1.0000
"Nylund Games",1,1,0,1.0000
"Construct Studio Inc.",1,1,0,1.0000
"Formal Sheep, LLC",1,1,0,1.0000
playchocolate,1,1,0,1.0000
"GMD Studio",1,1,0,1.0000
"Logan Apple",1,1,0,1.0000
"David Cseh",1,1,0,1.0000
"Silver Moon Internet;????",1,1,0,1.0000
"BitBreak I/S",1,1,0,1.0000
"HCP Entertainment",1,1,0,1.0000
MAVR,1,1,0,1.0000
rupiwood,1,1,0,1.0000
"The Station",1,1,0,1.0000
"Oneironaut Academy LLC",1,1,0,1.0000
"Bit Toys",1,1,0,1.0000
"Edulus software",1,1,0,1.0000
WhirlVFX,1,1,0,1.0000
"Adam Hebert",1,1,0,1.0000
"Bruno MARTIOL",1,1,0,1.0000
"FLYNET STUDIOS",1,1,0,1.0000
"VinLia Games",1,1,0,1.0000
"Joshua Angeley",1,1,0,1.0000
"Downpour Studios",1,1,0,1.0000
"Games That Work",1,1,0,1.0000
BLAZORS,1,1,0,1.0000
"RigidCore Games",1,1,0,1.0000
"Teawork Dev",1,1,0,1.0000
FullmetalDeveloper,1,1,0,1.0000
"Fyn Games",1,2,0,0.5000
"Full Metal Jacket Games",1,1,0,1.0000
"Wevr, Inc",1,1,0,1.0000
2B_GAMES,1,1,0,1.0000
"Wolf In Motion Ltd",1,1,0,1.0000
Onefurinthebox,1,1,0,1.0000
"Portal Studios",1,2,0,0.5000
"Lines Media Corp.",1,1,0,1.0000
"Jose Pedro Díaz",1,1,0,1.0000
"Rukas Skirkevicius",1,1,0,1.0000
"Sparkypants Studios LLC",1,1,0,1.0000
"Rogue Sun",1,1,0,1.0000
"Neo Kuriyo",1,1,0,1.0000
"Firstborn Games",1,1,0,1.0000
"SKYLENS TECHNOLOGY",1,1,0,1.0000
MyDearest,1,1,0,1.0000
"Scary Wizard Games",1,1,0,1.0000
58works,1,1,0,1.0000
Decoder,1,1,0,1.0000
"Neokosmos Technologies Ltd.",1,1,0,1.0000
"Renxiang Game ",1,1,0,1.0000
GEESCAN,1,1,0,1.0000
"Touwaku Studio",1,1,0,1.0000
"BIOSZARD Dev",1,2,0,0.5000
"Ivan Pestrikov",1,1,0,1.0000
"Hermes Interactive",1,1,0,1.0000
Frismos,1,1,0,1.0000
"Elkibe Games",1,1,0,1.0000
"Walkie Entertainment",1,1,0,1.0000
"Capricorn 76 Pty Ltd",1,1,0,1.0000
OverjoyedGameDevs,1,1,0,1.0000
"Sony Music Entertainment",1,1,0,1.0000
"Coding Leap",1,1,0,1.0000
"Irmas Ibric",1,1,0,1.0000
"Tenhere Games",1,1,0,1.0000
"Virtual Imagineering S.L.",1,1,0,1.0000
"Garden Shed Studios",1,1,0,1.0000
"The Revera Corporation",1,1,0,1.0000
"ThinkFast Studio",1,1,0,1.0000
OddBird,1,1,0,1.0000
"Liber Primus Games",1,1,0,1.0000
"Racaedym Software",1,1,0,1.0000
CarlMorganArt,1,1,0,1.0000
"Game Trust ",1,1,0,1.0000
"Baylor University Game Studios",1,2,0,0.5000
"Cornutopia Software",1,1,0,1.0000
"Sean Tann",1,1,0,1.0000
Oodlescube,1,1,0,1.0000
Packet39,1,1,0,1.0000
"Mirador Studio",1,1,0,1.0000
"Incendium LTD",1,1,0,1.0000
"ID Group",1,1,0,1.0000
"Weekend Soft",1,2,0,0.5000
"VOLTHOLE Inc.",1,1,0,1.0000
Miga,1,1,0,1.0000
Ore,1,1,0,1.0000
"Yomuneco Inc.",1,1,0,1.0000
"Hippy Lizard",1,1,0,1.0000
BindleBot,1,1,0,1.0000
"Headbang Club;WhisperGames;Kakehashi",1,1,0,1.0000
"Creative Pudding Hungary Llc.",1,1,0,1.0000
LumiNet,1,1,0,1.0000
BC,1,1,0,1.0000
"Tolga Ay",1,1,0,1.0000
"Néo-Riki Games",1,1,0,1.0000
"Spotlightor Interactive;Zodiac Interactive",1,1,0,1.0000
"Team Gotham",1,1,0,1.0000
Jonarene,1,1,0,1.0000
"inSPIRE Games",0,1,0,0.0000
"Vibrant Visuals - Christian Klötzel",1,1,0,1.0000
"300 fps",1,1,0,1.0000
"ACE Ed-Venture Studio",1,1,0,1.0000
"Druid Technologies",1,1,0,1.0000
"Jamie Rollo",0,1,0,0.0000
"Gravity Games",0,1,0,0.0000
"Llama Software",0,1,0,0.0000
"Quantum Engine",0,1,0,0.0000
Radcroc,0,1,0,0.0000
"Rablo Games",0,1,0,0.0000
"Naev Team",0,1,0,0.0000
"Catalope Games",0,2,0,0.0000
"Sons of Earth Games",0,1,0,0.0000
Modulesden,0,1,0,0.0000
"Top Right Corner",0,1,0,0.0000
LADDER,0,1,0,0.0000
"Asmodee Digital;Days of Wonder",0,1,0,0.0000
"Koth Studio",0,1,0,0.0000
"Bad Coffee Games",0,1,0,0.0000
"Puresurface, Inc.",0,1,0,0.0000
Fatmoth,0,1,0,0.0000
SVP,0,1,0,0.0000
"World of Dex",0,1,0,0.0000
"Humble Sage Games;Arrow Face Games",0,1,0,0.0000
"Teatime Research Ltd.",0,1,0,0.0000
"Janus VR, Inc.",0,1,0,0.0000
"Vlad Cristian",0,1,0,0.0000
"Tizona Interactive",0,1,0,0.0000
"Alex Hall",0,1,0,0.0000
"Monkeys Crowd Entertainment",0,1,0,0.0000
"2BAD GAMES",0,1,0,0.0000
LiangDeZhao,0,2,0,0.0000
"X-STREAM DIGITAL Co., Ltd.",0,1,0,0.0000
"Causal Bit Games Inc.;Hound Picked Games",0,1,0,0.0000
thebrokenhorn,0,1,0,0.0000
"Digital Upthrust",0,1,0,0.0000
"ANASTASI SUKHONOSOVA",0,1,0,0.0000
"Three Frog Studios",0,1,0,0.0000
Funomena,0,1,0,0.0000
"Outer Brain Studios",0,1,0,0.0000
"Fishmoose Interactive",0,1,0,0.0000
"Zero Mass Energy, Inc",0,1,0,0.0000
"Hardtalk Studio",0,1,0,0.0000
"Miryn Innovation",0,1,0,0.0000
"Hypersome Games",0,1,0,0.0000
"Abyss Gameworks",0,1,0,0.0000
"Ennui Studio",0,1,0,0.0000
"New Orbit Games",0,1,0,0.0000
Kogei,0,1,0,0.0000
"Manufacture 43",0,1,0,0.0000
"Double Dice Games",0,1,0,0.0000
"Hero Blocks ApS",0,1,0,0.0000
"All in! Games",0,1,0,0.0000
"Stardog Games",0,1,0,0.0000
YummyYummyTummy,0,1,0,0.0000
"Carbon Incubator",0,1,0,0.0000
"Klassen Games",0,1,0,0.0000
"Kraken Bit",0,1,0,0.0000
"Magic Dungeon Studio",0,1,0,0.0000
"Cuirass Entertainment Ltd.",0,1,0,0.0000
"Class-X Games",0,1,0,0.0000
"Jason Baird",0,1,0,0.0000
"iVR, LLC.",0,1,0,0.0000
"Mountain Dew",0,1,0,0.0000
"Brantisky Interactive",0,1,0,0.0000
"Stupid Massive Unbelievable Games",0,1,0,0.0000
?????;??,0,1,0,0.0000
Raptisoft,0,1,0,0.0000
"DarkSun Studio;Gamera Game",0,1,0,0.0000
"Skylands Dev Team",0,1,0,0.0000
SlimeQ,0,1,0,0.0000
"crowgames UG (haftungsbeschränkt)",0,2,0,0.0000
"Geronimo Interactive",0,1,0,0.0000
"ID Card",0,1,0,0.0000
"mtb design works, inc.",0,1,0,0.0000
"Mikhail Nevsky",0,1,0,0.0000
"Business Mouse Studios",0,1,0,0.0000
"Palomino Studio",0,1,0,0.0000
"Ertal Games",0,1,0,0.0000
Stromsky,0,1,0,0.0000
Vertexherder,0,1,0,0.0000
"Big Hit Games",0,1,0,0.0000
mahojigoku,0,1,0,0.0000
"First Violin Games",0,1,0,0.0000
"Big Head Games Ltd.",0,1,0,0.0000
"Ntroy LTD",0,1,0,0.0000
"DeSync Studios",0,1,0,0.0000
"Stribling Media",0,1,0,0.0000
"Asmodee Digital;Z-Man Games",0,1,0,0.0000
"Sombrero Way Studio",0,1,0,0.0000
"Piece of Cake studios",0,1,0,0.0000
postpunkpl;atabiszewski,0,1,0,0.0000
Yurif,0,1,0,0.0000
"Magic Masks Team",0,1,0,0.0000
"Neojac Entertainment Inc.",0,1,0,0.0000
"Träumendes Mädchen",0,2,0,0.0000
HelloEnjoy,0,1,0,0.0000
"Afterthought Games",0,2,0,0.0000
"Play:D;NHTV Breda University of Applied Sciences",0,1,0,0.0000
"Mad Labyrinth Studios LLC",0,1,0,0.0000
"SuneX Games",0,1,0,0.0000
Embryo,0,1,0,0.0000
paulstraw,0,1,0,0.0000
ObsessionSoft,0,1,0,0.0000
"The Mill",0,1,0,0.0000
"Further Beyond Studios",0,1,0,0.0000
"Binary Soul",0,1,0,0.0000
"Intelligent Systems",0,1,0,0.0000
"Synaptic Response",0,1,0,0.0000
"Fizzure Entertainment",0,1,0,0.0000
"Paul Svelmoe",0,1,0,0.0000
"Impostor Cat Games",0,2,0,0.0000
teedoubleuGAMES,0,1,0,0.0000
Redden,0,1,0,0.0000
REDspace,0,1,0,0.0000
"DAR Studio",0,1,0,0.0000
"Parallax Labs",0,1,0,0.0000
6waves,0,1,0,0.0000
"Wolf Pack",0,1,0,0.0000
"Vulture Strike",0,1,0,0.0000
BearFighterDev,0,1,0,0.0000
"TinMoon Studios",0,1,0,0.0000
"Tower Studios",0,1,0,0.0000
"BlackTale Games",0,1,0,0.0000
"PsychoFlux Entertainment;Jellypig Games",0,1,0,0.0000
"AeroLab Studios ",0,1,0,0.0000
LongWu,0,1,0,0.0000
Arrible,0,3,0,0.0000
"Cherry Bloom",0,1,0,0.0000
"Super Dead LLC",0,1,0,0.0000
"Tendril Studio",0,1,0,0.0000
Virtew,0,1,0,0.0000
"EntroPi Games",0,1,0,0.0000
"Vladislav Vasilkov",0,1,0,0.0000
"Team B.R.O.S.",0,1,0,0.0000
"Imperia Online LTD",0,1,0,0.0000
"Airborne Games",0,1,0,0.0000
"Pixel Wonder",0,1,0,0.0000
"like Charlie",0,1,0,0.0000
"Fome Productions",0,1,0,0.0000
"Coding Caveman",0,1,0,0.0000
"Project Whitecard Studios Inc.;EvolVR Games Ltd.",0,1,0,0.0000
"KT Games",0,1,0,0.0000
SiliconWetware,0,1,0,0.0000
"Crasleen Games",0,1,0,0.0000
"Pro Social Games",0,1,0,0.0000
"Portal Entertainment",0,1,0,0.0000
"Lazylab Games",0,1,0,0.0000
VRLive,0,1,0,0.0000
"Timuz Games",0,1,0,0.0000
"Xavier Orion Games",0,1,0,0.0000
"Team Wood Block",0,1,0,0.0000
"PopNine Studio",0,1,0,0.0000
"Haunted Bees Productions",0,1,0,0.0000
Nucleax,0,1,0,0.0000
"Parsec Productions, LLC",0,1,0,0.0000
"Rinober Games",0,1,0,0.0000
"Lundar Games",0,1,0,0.0000
"Tsunehiko Shimazu",0,1,0,0.0000
MamilosClub,0,1,0,0.0000
"Michael Squirrel",0,1,0,0.0000
"Escape VR LLC",0,1,0,0.0000
"Marker Limited",0,1,0,0.0000
"William Cheek",0,1,0,0.0000
"Igor Litvinsky",0,1,0,0.0000
Lumbernauts,0,1,0,0.0000
"Aggressive Combustion",0,1,0,0.0000
AppFactoryHaru-Ni,0,1,0,0.0000
Frostbullet,0,1,0,0.0000
"POW Games",0,1,0,0.0000
"Rock Wale",0,1,0,0.0000
m12y,0,1,0,0.0000
JunkGameStudio,0,1,0,0.0000
vextro,0,1,0,0.0000
"NonFictional Games",0,1,0,0.0000
"Soma Games",0,1,0,0.0000
"Terahard Ltd",0,1,0,0.0000
"Spicy Fox GmbH",0,1,0,0.0000
"House of How",0,1,0,0.0000
"G. A. Williams",0,2,0,0.0000
"RogueCode (PTY) LTD",0,1,0,0.0000
Lambdadev,0,1,0,0.0000
"Huw Millward",0,1,0,0.0000
"Super Suite Studios",0,1,0,0.0000
"MAJ Studio",0,1,0,0.0000
"JRad Games",0,1,0,0.0000
"Gnioto VR",0,1,0,0.0000
"Pixel Fun Games Production",0,1,0,0.0000
" I SHOW YOU",0,1,0,0.0000
u&i,0,1,0,0.0000
"Pigeons Interactive",0,1,0,0.0000
"Bad Gravity",0,1,0,0.0000
"Minor Faction",0,1,0,0.0000
"Frostflake Studios",0,1,0,0.0000
bogdanehi,0,1,0,0.0000
LSTGames,0,1,0,0.0000
"Jonathan Holmes (crait)",0,1,0,0.0000
"Martin Simeth",0,1,0,0.0000
"Joint Ventures",0,1,0,0.0000
LizardKing,0,1,0,0.0000
71Games,0,1,0,0.0000
"Luke Vincent",0,1,0,0.0000
Vanimals,0,1,0,0.0000
"Martin Knopf",0,1,0,0.0000
BernhardP,0,1,0,0.0000
"Artbox Games",0,1,0,0.0000
"DIF Studios",0,1,0,0.0000
"Cannon Fire Games LTD",0,1,0,0.0000
"Abstraction Games",0,1,0,0.0000
"Rava Games",0,1,0,0.0000
"Squish Studios LLC",0,1,0,0.0000
"nDreams ",0,1,0,0.0000
"Sergey Shushunov",0,1,0,0.0000
"Selective Intuition",0,1,0,0.0000
"Prism Game Studios Ltd.",0,1,0,0.0000
"Lushboy Studios",0,1,0,0.0000
"The Snarktopus",0,1,0,0.0000
"The MegaByte",0,1,0,0.0000
Discovermypath,0,1,0,0.0000
"Egg Roll Digital Studios Inc.",0,1,0,0.0000
"No Moon",0,1,0,0.0000
"Kyon Games",0,1,0,0.0000
etaxoft,0,1,0,0.0000
"Skeleton Crew Studio",0,1,0,0.0000
VertexBreakers,0,1,0,0.0000
"VIRTUAL REALITY LABORATORY DV",0,1,0,0.0000
"NAK games",0,1,0,0.0000
"Tiny Bull Studios",0,1,0,0.0000
"Chromosphere Games",0,1,0,0.0000
"Outlier Interactive",0,1,0,0.0000
"Studio Pillet",0,1,0,0.0000
"Rockwell Studios, LLC",0,1,0,0.0000
"Tomislav Kadežabek",0,1,0,0.0000
Ediogames,0,1,0,0.0000
CurriculaWorks,0,1,0,0.0000
"Henri Osbourne",0,1,0,0.0000
"Techone Game Studio",0,1,0,0.0000
TeamTrap,0,1,0,0.0000
DreamDale,0,1,0,0.0000
"Hashplay, Inc.",0,1,0,0.0000
"Indy Lion Studios",0,1,0,0.0000
"RAWR Lab",0,1,0,0.0000
alexnown,0,1,0,0.0000
IceSimba,0,1,0,0.0000
"16 Swans",0,1,0,0.0000
"Atomic Wolf",0,1,0,0.0000
BoninblueDesignLab,0,1,0,0.0000
"MeRo Games",0,1,0,0.0000
"Frosty Elk AB",0,1,0,0.0000
SF,0,1,0,0.0000
"Plexus team",0,1,0,0.0000
"rcadeVR, LLC.",0,1,0,0.0000
"Rocket Juice Games",0,1,0,0.0000
RYD-Company,0,1,0,0.0000
"Wisdom Emprie",0,1,0,0.0000
"DNT Games",0,1,0,0.0000
myself,0,1,0,0.0000
Koodilab,0,1,0,0.0000
GreenGasGames,0,1,0,0.0000
"Haven Studios",0,1,0,0.0000
"F.U.U.M. Co., Ltd.",0,1,0,0.0000
slizer88,0,1,0,0.0000
"Catobyte Ltd",0,1,0,0.0000
"Proc Spine",0,1,0,0.0000
"AliveIn Technology Ltd",0,1,0,0.0000
"Defend the Cake, LLC",0,1,0,0.0000
"Stray RamBling",0,1,0,0.0000
FunshipTech,0,1,0,0.0000
"Hero Game",0,1,0,0.0000
"Truant Pixel, LLC",0,1,0,0.0000
Pooandplay;Jogaloca,0,1,0,0.0000
Naiadgames,0,1,0,0.0000
"? Pyramid Games",0,1,0,0.0000
"Emerson Design, Inc.",0,1,0,0.0000
"Funderground Games",0,1,0,0.0000
"Bence Sipka",0,1,0,0.0000
"GUANGZHOU SEALY ELECTRONIC TECHNOLOGY CO., LTD",0,1,0,0.0000
"Emerald Beast Studios",0,1,0,0.0000
x0to1,0,1,0,0.0000
"Charles University;Czech Academy of Sciences",0,1,0,0.0000
"Hallid Games",0,1,0,0.0000
"Delum Studios",0,1,0,0.0000
"Minibrute Games",0,1,0,0.0000
"Bornteks Entertainment",0,1,0,0.0000
"Hio Giang",0,1,0,0.0000
"Brain Stone GmbH",0,1,0,0.0000
pixel.lu,0,1,0,0.0000
"Oscar Kenneth Albero Ingles",0,1,0,0.0000
"Trifulca Force",0,1,0,0.0000
"Plan B",0,1,0,0.0000
RF,0,1,0,0.0000
cloneZone,0,1,0,0.0000
"Ludi Dorici",0,1,0,0.0000
"Xperiencia Virtual",0,1,0,0.0000
"Puzzle: Underwater World",0,1,0,0.0000
"VR Triber",0,1,0,0.0000
"Castle Production Services",0,1,0,0.0000
"Flaming Bat Studios;Bareware Studios",0,1,0,0.0000
"Liam Doherty",0,1,0,0.0000
"Team OctoPoodle",0,1,0,0.0000
Ironbell,0,1,0,0.0000
"PodShoh Studio",0,1,0,0.0000
"Hannes Delbeke",0,2,0,0.0000
Capiproducts,0,2,0,0.0000
Bromio,0,1,0,0.0000
"Parakite LTD",0,1,0,0.0000
PalfreyGames,0,1,0,0.0000
"Sike Studios",0,1,0,0.0000
BOMBZ,0,1,0,0.0000
SeekSick6,0,1,0,0.0000
"A and F studios",0,1,0,0.0000
"Golden Age Creative",0,1,0,0.0000
"Alien Octopus Studio",0,1,0,0.0000
Zac,0,1,0,0.0000
"Mermaid VR Inc.",0,1,0,0.0000
"Ferman Studio",0,1,0,0.0000
"FIVE12 GAMES LTD",0,1,0,0.0000
"Kittik Game Studio",0,1,0,0.0000
"Phil Blank",0,1,0,0.0000
"Digital Domain",0,1,0,0.0000
Threevol,0,1,0,0.0000
"Mike Laraman",0,1,0,0.0000
Decerion,0,1,0,0.0000
"Destinations VR",0,1,0,0.0000
CINEMUR,0,1,0,0.0000
"Unknown Origin Games Inc",0,1,0,0.0000
Jaydeb,0,1,0,0.0000
Wegame,0,1,0,0.0000
Besedka,0,1,0,0.0000
Visigames,0,1,0,0.0000
TarasB,0,1,0,0.0000
"Open Mid Interactive",0,1,0,0.0000
"Humanture, Inc.",0,1,0,0.0000
"Lava Flow Games, LLC",0,1,0,0.0000
"MarWin Studios;ThroughView",0,1,0,0.0000
"Tzar Leonardi",0,1,0,0.0000
"Pixel Engineers",0,1,0,0.0000
"Revoked Studio",0,1,0,0.0000
S-Game,0,1,0,0.0000
DLODLO,0,1,0,0.0000
Codex7,0,1,0,0.0000
"RedForce Games",0,1,0,0.0000
"3rd Eye Studios",0,1,0,0.0000
"Klondike Solitaire Kings",0,1,0,0.0000
"Adam John Adkins",0,1,0,0.0000
"Infinite Road Studio",0,1,0,0.0000
"Christoffer Ryrvall",0,1,0,0.0000
"L. Stotch ",0,1,0,0.0000
"Mahjong Solitaire",0,1,0,0.0000
"Yeronimo Apps",0,1,0,0.0000
"Lonely Dev",0,1,0,0.0000
"Jamo Games",0,1,0,0.0000
"Time Stop Interactive",0,1,0,0.0000
"Fuyu Games AB",0,1,0,0.0000
"Matthew Peacock",0,1,0,0.0000
"Mad Mimic;Chorus Worldwide",0,1,0,0.0000
"Blueplant Entertainment",0,2,0,0.0000
Munigis,0,2,0,0.0000
"Digital Domain ",0,1,0,0.0000
"NerdRage Studios",0,1,0,0.0000
ManBeardGames,0,1,0,0.0000
pulsartronic,0,1,0,0.0000
"DCF Studios",0,2,0,0.0000
"New 90's Games",0,1,0,0.0000
"NASPAPA GAMES",0,1,0,0.0000
"LiquidFire Entertainment",0,1,0,0.0000
"Attu Games",0,1,0,0.0000
"Jacob Francis;Frentwick Indie",0,1,0,0.0000
"Fishing Cactus",0,1,0,0.0000
Xenturion,0,1,0,0.0000
"Paul Boland",0,1,0,0.0000
"Log Games Ltd",0,1,0,0.0000
"Quick Save Studios",0,1,0,0.0000
"David Ruland",0,1,0,0.0000
WangJianWei,0,1,0,0.0000
"Lycanic Studios",0,1,0,0.0000
"RealFire Interactive",0,1,0,0.0000
"Erik Brunström",0,1,0,0.0000
"Odd Meter",0,1,0,0.0000
"Gamily Studios",0,1,0,0.0000
"U-Play Online;Raiser Games",0,1,0,0.0000
"Simon Blasen",0,1,0,0.0000
"bad monkee",0,1,0,0.0000
"rusty games",0,1,0,0.0000
"Pine Street Codeworks LLC",0,1,0,0.0000
JaudaLabs,0,1,0,0.0000
"Binary Fusion",0,1,0,0.0000
"Dynasty Interactive Ltd",0,1,0,0.0000
"George Batchelor",0,1,0,0.0000
"Real Maxwell LLC",0,1,0,0.0000
Sideline,0,1,0,0.0000
JellyTeam,0,1,0,0.0000
"Glacier Labs",0,1,0,0.0000
"Pixel Island",0,1,0,0.0000
"Zendo Games",0,1,0,0.0000
"Chicken Waffle",0,1,0,0.0000
"Alexander Shvab",0,1,0,0.0000
"Nerd Commando Game Studios",0,1,0,0.0000
"Evgeniy Psarev",0,1,0,0.0000
BeBold,0,1,0,0.0000
"David Nguyen",0,1,0,0.0000
"Grip Top Games",0,1,0,0.0000
WildArts,0,1,0,0.0000
XAREA,0,1,0,0.0000
"Tomas Lif",0,1,0,0.0000
ZhangHaiLong,0,1,0,0.0000
"Step Dad Productions",0,1,0,0.0000
BBit,0,1,0,0.0000
"Studio Eris",0,1,0,0.0000
"UnNaturalism Inc.",0,1,0,0.0000
"Fazz Brothers",0,1,0,0.0000
"Clear Light Games",0,1,0,0.0000
"Playmous;Plug In Digital",0,1,0,0.0000
"Brain Machine",0,1,0,0.0000
"Emprom Game",0,1,0,0.0000
"Frenetic Gaming",0,1,0,0.0000
"Mike Pickering",0,1,0,0.0000
"Alex's Granny",0,1,0,0.0000
"CRJ Games",0,1,0,0.0000
Statespace,0,1,0,0.0000
"Grid Game",0,1,0,0.0000
Idellio,0,1,0,0.0000
"Joseph Bramlett",0,1,0,0.0000
"Mystic cat",0,1,0,0.0000
"Luetso, LLC",0,1,0,0.0000
"tensixfour Digital",0,1,0,0.0000
Stevemata,0,1,0,0.0000
"The Dangerous Kitchen;Chorus Worldwide",0,1,0,0.0000
"Studio Fawn",0,1,0,0.0000
"Packet1337 Inc.",0,1,0,0.0000
"UP DEVELOPMENT LTD.",0,2,0,0.0000
"Steven Mildenhall",0,1,0,0.0000
"Best Friend Games",0,1,0,0.0000
"Retro Reactor",0,1,0,0.0000
"SacriFACE Studio",0,1,0,0.0000
"in Principle Inc",0,2,0,0.0000
"Russell Meakim",0,1,0,0.0000
"Dmitry Zagumennov",0,1,0,0.0000
bottyann,0,1,0,0.0000
"Tactical AR",0,1,0,0.0000
"Pedica Games",0,1,0,0.0000
"Fusion.Robot & Co",0,1,0,0.0000
"KX Games",0,3,0,0.0000
"Twin Squid Ltd",0,1,0,0.0000
"Hey Mum Jam No Marmalade",0,1,0,0.0000
"Milan Matonok",0,2,0,0.0000
"Joseph MacDonald",0,1,0,0.0000
"Wang Wenxi",0,1,0,0.0000
Ugamehome,0,1,0,0.0000
"Fair Games",0,1,0,0.0000
"Meta Sauce",0,1,0,0.0000
"Walnut LLC",0,1,0,0.0000
"GY Games",0,1,0,0.0000
"Magic Light & LittleV",0,1,0,0.0000
"Isaac Stearns",0,1,0,0.0000
"Novo Mundo",0,1,0,0.0000
"Xivek's Toybox",0,1,0,0.0000
"Fold Up Studios",0,1,0,0.0000
"Cole Fusion Studios",0,1,0,0.0000
"Jehan Kobe Chang",0,1,0,0.0000
"Alain Perrin",0,1,0,0.0000
